secs,runs,wickets
0952.jpg,168,5
0953.jpg,169,5
0954.jpg,169,5
0955.jpg,169,5
0956.jpg,169,5
0957.jpg,169,5
0958.jpg,170,5
0959.jpg,170,5
0960.jpg,170,5
0961.jpg,170,5
0962.jpg,170,5
0963.jpg,170,5
0964.jpg,170,5
0965.jpg,170,5
09652.jpg,470,5
0966.jpg,170,5
0967.jpg,170,5
09672.jpg,170,5
0968.jpg,170,5
0969.jpg,170,5
0970.jpg,170,5
0971.jpg,170,5
0973.jpg,174,5
0974.jpg,174,5
0975.jpg,174,5
0976.jpg,174,5
0977.jpg,174,5
0995.jpg,175,5
0996.jpg,175,5
0997.jpg,175,5
0998.jpg,175,5
0999.jpg,175,5
