Filename,OCR Result
frame_0757.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0759.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0760.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0761.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0762.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0763.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0764.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0765.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0766.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0767.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0768.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0769.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0770.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0771.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0772.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0773.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0774.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0775.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0776.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0792.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0793.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0794.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0795.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0796.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0797.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0798.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0799.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0800.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0801.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0802.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0803.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0804.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0805.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0806.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0807.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0808.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0809.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0810.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0811.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0812.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0813.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0814.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0815.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0816.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0817.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0818.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0819.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0820.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0821.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
